TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
ATNI,77090,00215F10,2016-07-14,2023-12-29,1
ATR,79133,03833610,1993-12-16,2023-12-29,1
ATRN,83469,04311320,1996-08-15,2023-12-29,1
AUDC,86929,M1534210,1999-07-15,2023-12-29,1
AUXL,90275,05334D10,2004-08-19,2015-01-29,1
AVAV,91733,00807310,2007-02-15,2023-12-29,1
AVDO,68830,05090310,1984-12-20,1993-08-01,1
AVDO,68830,76162410,1993-09-16,2023-12-29,1
AVID,78955,05367P10,1993-05-20,2023-11-06,1
AVII,85002,00234610,2000-04-20,2012-07-11,1
AVII,85002,80360710,2012-07-19,2023-12-29,1
AVND,81541,05434110,1995-07-20,1999-02-28,1
AVND,81541,55263D10,1999-03-18,2001-11-06,1
AVND,81541,55264U10,2001-11-15,2019-03-21,1
AVSN,10701,58445V10,1988-08-16,1989-01-16,1
AVSN,10701,58445V20,1989-02-16,1991-03-28,1
AVSN,79678,00493020,1993-10-22,2008-07-09,1
AVSN,79678,00507V10,2008-07-17,2023-10-12,1
AVX1,81912,00244410,1995-11-16,2020-03-27,1
AWH,91393,G0219G20,2006-07-20,2010-11-30,1
AWH,91393,H0153110,2010-12-16,2017-07-27,1
AWH,,,2017-08-17,2019-12-31,6
AWI,91516,04247X10,2006-10-19,2023-12-29,1
AWKC,92614,03042010,2008-05-15,2023-12-29,1
AWRE,83844,05453N10,1996-10-17,2023-12-29,1
AXL,86547,02406110,1999-03-18,2023-12-29,1
AXS,89789,G0692U10,2003-07-17,2023-12-29,1
AXTI,86051,03051410,1998-06-18,2000-08-21,1
AXTI,86051,00246W10,2000-09-14,2023-12-29,1
AXYX,88148,05461R10,2001-12-20,2006-10-03,1
AXYX,88148,89235K10,2006-10-19,2009-09-29,1
AXYX,88148,75382F10,2009-10-15,2016-10-24,1
AYI,89216,00508Y10,2001-12-20,2023-12-29,1
AYR,91426,G0129K10,2006-08-17,2020-03-27,1
AYZS,81540,03071P10,1995-04-04,1995-04-19,5
AZO,76605,05333210,1991-05-16,2023-12-29,1
AZPN,80957,04532710,1994-12-15,2022-05-16,1
AZPN,23063,29109X10,2022-05-19,2023-12-29,1
BA3T,87476,06343110,2004-04-15,2007-07-01,1
BA3T,87476,06342510,2007-07-19,2023-12-29,1
BABY,89036,63905010,2001-08-30,2022-07-20,1
BANA,85789,05968610,1985-12-19,1992-10-14,1
BANA,85789,05969210,1992-10-26,2017-10-31,1
BANA,85789,05971J10,2017-11-16,2021-10-28,1
BANA,85789,12740C10,2021-11-18,2023-12-29,1
BANF,79072,05945F10,1994-08-18,2023-12-29,1
BAP,82311,G2519Y10,1996-02-15,2023-12-29,1
BATL,93297,Y0553W10,2010-03-18,2015-07-17,1
BAW,19581,09523220,1988-09-15,1990-04-01,1
